symbol,isin,upstox_key,sector,name
# Nifty Midcap 150 constituents. Cols: symbol, ISIN, Upstox key, sector, name.
# yfinance path needs only `symbol` (used as <symbol>.NS). Blank upstox_key is
# auto-derived as "NSE_EQ|<ISIN>". REFRESH with: python scripts/build_universe.py
#   --index niftymidcap150   (constituents rebalance ~semi-annually).
360ONE,INE466L01038,,Financial Services,360 ONE WAM Ltd
3MINDIA,INE470A01017,,Diversified,3M India Ltd
ABBOTINDIA,INE358A01014,,Healthcare,Abbott India Ltd
ABCAPITAL,INE674K01013,,Financial Services,Aditya Birla Capital Ltd
ACC,INE012A01025,,Cement,ACC Ltd
AIAENG,INE212H01026,,Capital Goods,AIA Engineering Ltd
AIIL,INE206F01022,,Financial Services,Authum Investment & Infrastructure Ltd
AJANTPHARM,INE031B01049,,Healthcare,Ajanta Pharmaceuticals Ltd
ALKEM,INE540L01014,,Healthcare,Alkem Laboratories Ltd
ANTHEM,INE0CZ201020,,Healthcare,Anthem Biosciences Ltd
APARINDS,INE372A01015,,Capital Goods,Apar Industries Ltd
APLAPOLLO,INE702C01027,,Capital Goods,APL Apollo Tubes Ltd
APOLLOTYRE,INE438A01022,,Auto,Apollo Tyres Ltd
ASHOKLEY,INE208A01029,,Capital Goods,Ashok Leyland Ltd
ASTRAL,INE006I01046,,Capital Goods,Astral Ltd
ATGL,INE399L01023,,Oil & Gas,Adani Total Gas Ltd
AUBANK,INE949L01017,,Financial Services,AU Small Finance Bank Ltd
AUROPHARMA,INE406A01037,,Healthcare,Aurobindo Pharma Ltd
AWL,INE699H01024,,FMCG,AWL Agri Business Ltd
BAJAJHFL,INE377Y01014,,Financial Services,Bajaj Housing Finance Ltd
BALKRISIND,INE787D01026,,Auto,Balkrishna Industries Ltd
BANKINDIA,INE084A01016,,Financial Services,Bank of India
BDL,INE171Z01026,,Capital Goods,Bharat Dynamics Ltd
BERGEPAINT,INE463A01038,,Consumer Durables,Berger Paints India Ltd
BHARATFORG,INE465A01025,,Auto,Bharat Forge Ltd
BHARTIHEXA,INE343G01021,,Telecom,Bharti Hexacom Ltd
BHEL,INE257A01026,,Capital Goods,Bharat Heavy Electricals Ltd
BIOCON,INE376G01013,,Healthcare,Biocon Ltd
BLUESTARCO,INE472A01039,,Consumer Durables,Blue Star Ltd
BSE,INE118H01025,,Financial Services,BSE Ltd
COCHINSHIP,INE704P01025,,Capital Goods,Cochin Shipyard Ltd
COFORGE,INE591G01025,,IT,Coforge Ltd
COLPAL,INE259A01022,,FMCG,Colgate Palmolive (India) Ltd
CONCOR,INE111A01025,,Services,Container Corporation of India Ltd
COROMANDEL,INE169A01031,,Chemicals,Coromandel International Ltd
CRISIL,INE007A01025,,Financial Services,CRISIL Ltd
DABUR,INE016A01026,,FMCG,Dabur India Ltd
DALBHARAT,INE00R701025,,Cement,Dalmia Bharat Ltd
DIXON,INE935N01020,,Consumer Durables,Dixon Technologies (India) Ltd
ENDURANCE,INE913H01037,,Auto,Endurance Technologies Ltd
ESCORTS,INE042A01014,,Capital Goods,Escorts Kubota Ltd
EXIDEIND,INE302A01020,,Auto,Exide Industries Ltd
FEDERALBNK,INE171A01029,,Financial Services,Federal Bank Ltd
